top up,,,,,
ENSG00000139624,656.293.134.613.014,0.471460878,0.000105773,F8VXY1,PATHWAY: Lipid metabolism/ sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004760}./ PATHWAY: Sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004991}.
ENSG00000139624,656.293.134.613.014,0.471460878,0.000105773,H0YHG4,PATHWAY: Lipid metabolism/ sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004760}./ PATHWAY: Sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004991}.
ENSG00000139624,656.293.134.613.014,0.471460878,0.000105773,H0YHK2,PATHWAY: Lipid metabolism/ sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004760}./ PATHWAY: Sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004991}.
ENSG00000139624,656.293.134.613.014,0.471460878,0.000105773,H0YI10,PATHWAY: Lipid metabolism/ sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004760}./ PATHWAY: Sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004991}.
ENSG00000139624,656.293.134.613.014,0.471460878,0.000105773,H0YIG1,PATHWAY: Lipid metabolism/ sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004760}./ PATHWAY: Sphingolipid metabolism. {ECO:0000256|ARBA:ARBA00004991}.
ENSG00000139624,656.293.134.613.014,0.471460878,0.000105773,Q8N5B7,"PATHWAY: Lipid metabolism/ sphingolipid metabolism. {ECO:0000269|PubMed:18541923, ECO:0000269|PubMed:22144673, ECO:0000269|PubMed:22661289, ECO:0000269|PubMed:23530041, ECO:0000269|PubMed:26887952}."
ENSG00000164039,452.218.664.578.415,-0.567440699,0.000113111,Q9BUT1,PATHWAY: Amino-acid metabolism. {ECO:0000305|PubMed:35150746}./ PATHWAY: Siderophore biosynthesis. {ECO:0000250|UniProtKB:Q8JZV9}.
ENSG00000156471,222.082.637.809.897,-0.513488877,0.000129606,P48651,PATHWAY: Phospholipid metabolism/ phosphatidylserine biosynthesis.
ENSG00000148344,160.995.151.704.531,-0.95007546,0.000147149,O14684,PATHWAY: Lipid metabolism/ prostaglandin biosynthesis. {ECO:0000269|PubMed:10869354}.
ENSG00000181852,11.750.459.853.669,0.421664521,0.000178504,Q9H4P4,PATHWAY: Protein modification/ protein ubiquitition.
