,#gene_id,transcript_id,sprot_Top_BLASTX_hit,Raiz_Seca_logFC,logCPM,PValue,FDR
0,TRINITY_DN1000_c1_g1,TRINITY_DN1000_c1_g1_i27,ATXR7_ARATH,-1,6593,3,5797,1,50E-08,2,53E-07
1,TRINITY_DN1000_c1_g1,TRINITY_DN1000_c1_g1_i27,ATXR7_ARATH,-1,6593,3,5797,1,50E-08,2,53E-07
2,TRINITY_DN1000_c1_g1,TRINITY_DN1000_c1_g1_i27,ATXR7_ARATH,-1,6593,3,5797,1,50E-08,2,53E-07
3,TRINITY_DN10041_c0_g1,TRINITY_DN10041_c0_g1_i4,AMPL2_ARATH,0,883,3,7262,2,22E-04,1,44E-03
4,TRINITY_DN10041_c0_g1,TRINITY_DN10041_c0_g1_i4,AMPL2_ARATH,0,883,3,7262,2,22E-04,1,44E-03
5,TRINITY_DN1005_c0_g2,TRINITY_DN1005_c0_g2_i3,VQ4_ARATH,1,0191,5,4025,7,43E-04,4,11E-03
6,TRINITY_DN1005_c0_g2,TRINITY_DN1005_c0_g2_i3,VQ4_ARATH,1,0191,5,4025,7,43E-04,4,11E-03
7,TRINITY_DN1009_c0_g1,TRINITY_DN1009_c0_g1_i20,GOGC3_ARATH,1,7542,4,6516,2,31E-10,5,97E-09
8,TRINITY_DN1009_c0_g1,TRINITY_DN1009_c0_g1_i20,GOGC3_ARATH,1,7542,4,6516,2,31E-10,5,97E-09
9,TRINITY_DN10113_c0_g1,TRINITY_DN10113_c0_g1_i23,G2OX_PHACN,-2,8937,3,0051,7,50E-09,1,36E-07
10,TRINITY_DN10113_c0_g1,TRINITY_DN10113_c0_g1_i23,G2OX_PHACN,-2,8937,3,0051,7,50E-09,1,36E-07
11,TRINITY_DN10113_c0_g1,TRINITY_DN10113_c0_g1_i23,G2OX_PHACN,-2,8937,3,0051,7,50E-09,1,36E-07
12,TRINITY_DN10113_c0_g1,TRINITY_DN10113_c0_g1_i23,G2OX_PHACN,-2,8937,3,0051,7,50E-09,1,36E-07
13,TRINITY_DN10113_c0_g1,TRINITY_DN10113_c0_g1_i23,G2OX_PHACN,-2,8937,3,0051,7,50E-09,1,36E-07
14,TRINITY_DN10127_c0_g1,TRINITY_DN10127_c0_g1_i1,FLA8_ARATH,-2,705,2,408,3,06E-05,2,37E-04
15,TRINITY_DN10127_c0_g1,TRINITY_DN10127_c0_g1_i11,FLA8_ARATH,0,7049,3,3805,4,89E-04,2,78E-03
16,TRINITY_DN1013_c0_g1,TRINITY_DN1013_c0_g1_i2,HSD4B_ARATH,3,3191,2,2476,6,11E-05,4,42E-04
17,TRINITY_DN1013_c0_g1,TRINITY_DN1013_c0_g1_i2,HSD4B_ARATH,3,3191,2,2476,6,11E-05,4,42E-04
18,TRINITY_DN10144_c0_g1,TRINITY_DN10144_c0_g1_i16,BTAF1_ARATH,-1,1191,4,0601,7,50E-09,1,36E-07
19,TRINITY_DN10144_c0_g1,TRINITY_DN10144_c0_g1_i16,BTAF1_ARATH,-1,1191,4,0601,7,50E-09,1,36E-07
20,TRINITY_DN10153_c0_g1,TRINITY_DN10153_c0_g1_i10,ASD_ARATH,1,2532,4,9292,5,69E-17,7,65E-15
21,TRINITY_DN10153_c0_g1,TRINITY_DN10153_c0_g1_i10,ASD_ARATH,1,2532,4,9292,5,69E-17,7,65E-15
22,TRINITY_DN10153_c0_g1,TRINITY_DN10153_c0_g1_i10,ASD_ARATH,1,2532,4,9292,5,69E-17,7,65E-15
23,TRINITY_DN10153_c0_g1,TRINITY_DN10153_c0_g1_i10,ASD_ARATH,1,2532,4,9292,5,69E-17,7,65E-15
24,TRINITY_DN10153_c0_g1,TRINITY_DN10153_c0_g1_i10,ASD_ARATH,1,2532,4,9292,5,69E-17,7,65E-15
25,TRINITY_DN10178_c0_g1,TRINITY_DN10178_c0_g1_i6,GRC13_ARATH,-3,6398,4,048,1,12E-19,2,90E-17
26,TRINITY_DN10178_c0_g1,TRINITY_DN10178_c0_g1_i8,GRC13_ARATH,-4,7621,4,8168,4,64E-13,2,26E-11
27,TRINITY_DN10201_c0_g1,TRINITY_DN10201_c0_g1_i3,RPI2_ARATH,1,518,3,0213,1,53E-05,1,28E-04
28,TRINITY_DN10211_c0_g1,TRINITY_DN10211_c0_g1_i5,REMO_SOLTU,-3,0574,4,3184,1,76E-21,6,90E-19
29,TRINITY_DN10211_c0_g1,TRINITY_DN10211_c0_g1_i5,REMO_SOLTU,-3,0574,4,3184,1,76E-21,6,90E-19
